NOMBRE_PRODUCTO;CANTIDAD;FECHA_CADUCIDAD
Tafirol;10;15/12/2023
Ibupirac;15;20/11/2023
Bayaspirina;5;10/10/2023
Paracetamol;20;5/1/2024
Aspirina;8;25/11/2023
Strepsils;12;18/2/2024
Vicks VapoRub;6;1/12/2023
Halls;3;22/10/2023
Benadryl;18;10/12/2023
Nasonex;7;25/11/2023
Flanax;25;2/3/2024
Advil;10;10/1/2024
Sudafed;2;5/10/2023
Robitussin;15;18/12/2023
Nyquil;9;28/11/2023
Vicodin;14;10/3/2024
DayQuil;5;15/1/2024
Zyrtec;4;15/10/2023
Delsym;22;22/12/2023
Motrin;11;5/12/2023
Actifed;16;30/11/2023
Ricola;7;28/2/2024
Cepacol;8;8/12/2023
Mucinex;19;22/11/2023
Theraflu;10;10/4/2024
Sambucol;13;14/12/2023
Luden's;6;15/11/2023
Aleve;17;1/3/2024
Zantac;8;15/3/2024
Pepto-Bismol;5;20/10/2023
Imodium;21;30/12/2023
Gas-X;12;10/11/2023
Maalox;9;12/2/2024
Cortizone;14;18/1/2024
BenGay;11;28/10/2023
Tiger Balm;20;10/12/2023
Neosporin;8;22/1/2024
Band-Aid;6;5/11/2023
Calamine Lotion;16;20/2/2024
Visine;7;25/12/2023
Vaseline;10;30/1/2024
Ambien;3;8/11/2023
Melatonin;9;14/2/2024
Valerian Root;11;12/10/2023
Tafirol;13;25/3/2024
Ibupirac;5;10/2/2024
Paracetamol;22;15/12/2023
Aspirina;7;20/11/2023
Flanax;18;8/1/2024
Sudafed;10;15/3/2024
Nyquil;4;10/10/2023
Vicodin;15;5/12/2023
Motrin;8;18/11/2023
Ricola;11;12/2/2024
Mucinex;6;22/12/2023
Luden's;9;28/11/2023
Aleve;14;5/3/2024
Zantac;7;20/1/2024
Imodium;12;15/10/2023
Neosporin;20;18/12/2023
Band-Aid;5;28/2/2024
Visine;8;10/12/2023
Vicks VapoRub;6;1/12/2023
Valerian Root;11;12/10/2023
Aleve;14;5/3/2024
Zantac;7;20/1/2024
Imodium;12;15/10/2023
Calamine Lotion;16;20/2/2024
